onset	duration	trial_type	value
10.527154684066772	20.015999794006348	Story	1.0
30.543155670166016	9.656998872756958	Silence	1.0
40.20015549659729	19.999999046325684	Noise	1.0
60.20215463638306	10.471999883651733	Silence	1.0
70.67615461349487	19.99899983406067	Story	1.0
90.67615461349487	9.655999898910522	Silence	1.0
100.33315467834473	20.014999866485596	Noise	1.0
120.34915447235107	10.657000064849854	Silence	1.0
131.008154630661	20.013999938964844	Story	1.0
151.0231544971466	9.074000120162964	Silence	1.0
160.09815454483032	20.015000104904175	Noise	1.0
180.11415457725525	10.17300009727478	Silence	1.0
190.28815460205078	20.014999866485596	Noise	1.0
210.3041546344757	10.006999969482422	Silence	1.0
220.31215453147888	20.015000104904175	Story	1.0
240.3281545639038	10.29099988937378	Silence	1.0
250.62015461921692	20.013999938964844	Story	1.0
270.63615465164185	9.756999969482422	Silence	1.0
280.394154548645	20.013999938964844	Noise	1.0
300.4091546535492	9.473999977111816	Silence	1.0
309.88415455818176	20.015000104904175	Noise	1.0
329.9001545906067	9.023000001907349	Silence	1.0
338.9241545200348	20.013999938964844	Story	1.0
358.9401545524597	9.789999961853027	Silence	1.0
368.7311546802521	20.014999866485596	Story	1.0
388.7471544742584	10.391000032424927	Silence	1.0
399.1391546726227	20.014999866485596	Noise	1.0
419.155154466629	10.757000207901001	Silence	1.0
429.9131546020508	20.014999866485596	Story	1.0
449.9291546344757	9.990999937057495	Silence	1.0
